node_id,degree,betweenness,closeness
n8cunp,4.5100913293494195e-05,0.0,0.0
gxho701,4.5100913293494195e-05,1.017069125326858e-09,2.2550456646747097e-05
gxi59nt,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gxi88h7,4.5100913293494195e-05,1.017069125326858e-09,3.006727552899613e-05
gxiflqk,2.2550456646747097e-05,0.0,3.3825684970120644e-05
gxihtie,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gxiia05,2.2550456646747097e-05,0.0,3.006727552899613e-05
gxiqyqx,6.765136994024129e-05,1.017069125326858e-09,2.2550456646747097e-05
gxj8mwb,4.5100913293494195e-05,5.08534562663429e-10,2.2550456646747097e-05
gxk76w7,2.2550456646747097e-05,0.0,3.006727552899613e-05
gxk77yv,2.2550456646747097e-05,0.0,3.006727552899613e-05
n8y562,0.00011275228323373549,0.0,0.0
gxkzvlj,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gxl652x,4.5100913293494195e-05,2.542672813317145e-09,2.2550456646747097e-05
gxl9fo9,9.020182658698839e-05,4.068276501307432e-09,3.006727552899613e-05
gxlbwwc,2.2550456646747097e-05,0.0,3.3825684970120644e-05
gxlucqx,4.5100913293494195e-05,1.5256036879902868e-09,3.3825684970120644e-05
gxmjs98,2.2550456646747097e-05,0.0,3.6080730634795355e-05
gxouax7,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gxp5eit,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gy2nfk6,2.2550456646747097e-05,0.0,3.006727552899613e-05
gy2nsc6,2.2550456646747097e-05,0.0,3.006727552899613e-05
gy2oa1m,6.765136994024129e-05,1.017069125326858e-09,2.2550456646747097e-05
gy2oj3l,2.2550456646747097e-05,0.0,3.006727552899613e-05
nb3ur2,6.765136994024129e-05,0.0,0.0
gy2qvxz,2.2550456646747097e-05,0.0,2.2550456646747097e-05
nbwzej,0.00013530273988048258,0.0,0.0
gy3taai,6.765136994024129e-05,1.5256036879902868e-09,2.2550456646747097e-05
gy3td87,6.765136994024129e-05,1.017069125326858e-09,2.2550456646747097e-05
gy4357s,2.2550456646747097e-05,0.0,3.006727552899613e-05
gy44lba,4.5100913293494195e-05,1.017069125326858e-09,3.006727552899613e-05
gy5twsu,2.2550456646747097e-05,0.0,3.3825684970120644e-05
gy5upej,6.765136994024129e-05,1.5256036879902868e-09,2.2550456646747097e-05
gy68t61,2.2550456646747097e-05,0.0,3.006727552899613e-05
gy6n3c4,6.765136994024129e-05,1.017069125326858e-09,2.2550456646747097e-05
gy754bi,2.2550456646747097e-05,0.0,3.006727552899613e-05
gy9aw0b,4.5100913293494195e-05,1.017069125326858e-09,3.006727552899613e-05
gy9xx28,2.2550456646747097e-05,0.0,3.3825684970120644e-05
gygu3ng,2.2550456646747097e-05,0.0,2.2550456646747097e-05
ngqafk,0.00011275228323373549,0.0,0.0
gysefwc,2.2550456646747097e-05,0.0,2.2550456646747097e-05
gyuabgw,4.5100913293494195e-05,5.08534562663429e-10,2.2550456646747097e-05
